date,SP500,NASDAQ,LIBOR3M,VIX,CPI,HPI,CDS5Y
198001,114.16,161.75,,,,,
198002,113.66,158.03,,,,,
198003,102.09,131,,,79.03333333,,
198004,106.29,139.99,,,,,
198005,111.24,150.45,,,,,
198006,114.24,157.78,,,81.7,,
198007,121.67,171.81,,,,,
198008,122.38,181.52,,,,,
198009,125.46,187.76,,,83.23333333,,
198010,127.47,192.78,,,,,
198011,140.52,208.15,,,,,
198012,135.76,202.34,,,85.56666667,,
198101,129.55,197.81,,,,,
198102,131.27,198.01,,,,,
198103,136,210.18,,,87.93333333,,
198104,132.81,216.74,,,,,
198105,132.59,223.47,,,,,
198106,131.21,215.75,,,89.76666667,,
198107,130.92,211.63,,,,,
198108,122.79,195.75,,,,,
198109,116.18,180.03,,,92.26666667,,
198110,121.89,195.24,,,,,
198111,126.35,201.37,,,,,
198112,122.55,195.84,,,93.76666667,,
198201,120.4,188.39,,,,,
198202,113.11,179.43,,,,,
198203,111.96,175.65,,,94.6,,
198204,116.44,184.7,,,,,
198205,111.88,178.54,,,,,
198206,109.61,171.3,,,95.96666667,,
198207,107.09,167.35,,,,,
198208,119.51,177.71,,,,,
198209,120.42,187.65,,,97.63333333,,
198210,133.71,212.63,,,,,
198211,138.54,232.31,,,,,
198212,140.64,232.41,,,97.93333333,,
198301,145.3,248.35,,,,,
198302,148.06,260.67,,,,,
198303,152.96,270.8,,,98,,
198304,164.42,293.06,,,,,
198305,162.39,308.73,,,,,
198306,168.11,318.7,,,99.13333333,,
198307,162.56,303.96,,,,,
198308,164.4,292.42,,,,,
198309,166.07,296.65,,,100.1,,
198310,163.55,274.55,,,,,
198311,166.4,285.67,,,,,
198312,164.93,278.6,,,101.1,,
198401,163.41,268.43,,,,,
198402,157.06,252.57,,,,,
198403,159.18,250.78,,,102.5333333,,
198404,160.05,247.44,,,,,
198405,150.55,232.82,,,,,
198406,153.18,239.65,,,103.5,,
198407,150.66,229.7,,,,,
198408,166.68,254.64,,,,,
198409,166.1,249.94,,,104.4,,
198410,166.09,247.03,,,,,
198411,163.58,242.53,,,,,
198412,167.24,247.35,8.75,,105.3,,
198501,179.63,278.7,8.81,,,,
198502,181.18,284.17,9.5,,,,
198503,180.66,279.2,9.125,,106.2666667,,
198504,179.83,280.56,8.69,,,,
198505,189.55,290.8,7.625,,,,
198506,191.85,296.2,7.88,,107.2333333,,
198507,190.92,301.29,8.31,,,,
198508,188.63,297.71,8.19,,,,
198509,182.08,280.33,8.187,,107.9,,
198510,189.82,292.54,8.13,,,,
198511,202.17,313.95,8.1875,,,,
198512,211.28,325.22,8,,109,,
198601,211.78,335.77,8.0625,,,,
198602,226.92,359.53,7.875,,,,
198603,238.9,374.72,7.375,,109.5666667,,
198604,235.52,383.24,6.875,,,,
198605,247.35,400.16,7.125,,,,
198606,250.84,405.51,6.875,,109.0333333,,
198607,236.12,371.37,6.5,,,,
198608,252.93,382.86,5.5625,,,,
198609,231.32,350.67,6.125,,109.7,,
198610,243.98,360.77,6,,,,
198611,249.22,359.57,6.125,,,,
198612,242.17,348.83,6.375,,110.4666667,,
198701,274.08,392.06,6.25,,,,
198702,284.2,424.97,6.4375,,,,
198703,291.7,430.05,6.6875,,111.8,,
198704,288.36,417.81,7.125,,,,
198705,290.1,416.54,7.375,,,,
198706,304,424.67,7.1875,,113.0666667,,
198707,318.66,434.93,7,,,,
198708,329.8,454.97,7.25,,,,
198709,321.83,444.29,8.25,,114.2666667,,
198710,251.79,323.3,7.625,,,,
198711,230.3,305.16,8,,,,
198712,247.08,330.47,7.4375,,115.3333333,,
198801,257.07,344.66,6.875,,,,
198802,267.82,366.95,6.8125,,,,
198803,258.89,374.64,6.9375,,116.2333333,,
198804,261.33,379.24,7.3125,,,,
198805,262.16,370.34,7.75,,,,
198806,273.5,394.66,7.9375,,117.5666667,,
198807,272.02,387.33,8.4375,,,,
198808,261.52,376.55,8.5625,,,,
198809,271.91,387.71,8.625,,119,,
198810,278.97,382.46,8.625,,,,
198811,273.7,371.45,9.3125,,,,
198812,277.72,381.38,9.62,,120.3,,
198901,297.47,401.3,9.375,,,,
198902,288.86,399.71,10.3125,,,,
198903,294.87,406.73,10.3125,,121.6666667,,
198904,309.64,427.55,10.0625,,,,
198905,320.52,446.17,9.5625,,,,
198906,317.98,435.29,9.3125,,123.6333333,,
198907,346.08,453.84,8.5625,,,,
198908,351.45,469.33,9,,,,
198909,349.15,472.92,9.1875,,124.6,,
198910,340.36,455.63,8.6875,,,,
198911,345.99,456.09,8.5,,,,
198912,353.4,454.82,8.375,,125.8666667,,
199001,329.08,415.81,8.375,25.36,,,
199002,331.89,425.83,8.375,21.99,,,
199003,339.94,435.54,8.5,19.73,128.0333333,,
199004,330.8,420.07,8.6875,19.52,,,
199005,361.23,458.97,8.375,17.37,,,
199006,358.02,462.29,8.375,15.5,129.3,,
199007,356.15,438.24,7.9375,21.11,,,
199008,322.56,381.21,8.0625,29.9,,,
199009,306.05,344.51,8.3125,29.11,131.5333333,,
199010,304,329.84,8.0625,30.04,,,
199011,322.22,359.06,8.38,22.16,,,
199012,330.22,373.84,7.63,26.38,133.7666667,,
199101,343.93,414.2,7.06,20.91,,,
199102,367.07,453.05,6.88,21.23,,,
199103,375.22,482.3,6.375,16.88,134.7666667,100,
199104,375.35,484.72,6.06,18.24,,100.0033333,
199105,389.83,506.11,6.06,15.93,,100.0066667,
199106,371.16,475.92,6.1875,19.55,135.5666667,100.01,
199107,387.81,502.04,6,15.18,,100.0666667,
199108,395.43,525.68,5.6875,14.46,,100.1233333,
199109,387.86,526.88,5.625,15.85,136.6,100.18,
199110,392.46,542.98,5.3125,15.48,,100.48,
199111,375.22,523.9,4.9375,20.26,,100.78,
199112,417.09,586.34,4.3125,19.31,137.7333333,101.08,
199201,408.79,620.21,4.1875,17.4,,101.48,
199202,412.7,633.47,4.25,16.68,,101.88,
199203,403.69,603.77,4.3125,16.18,138.6666667,102.28,
199204,414.95,578.68,4.0625,15.53,,102.24,
